"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","response","present","setSize","conjuction","task","correct","stimulus"
"[{""page_index"":0,""viewing_time"":26509},{""page_index"":1,""viewing_time"":2833}]","29342","instructions","0","29344","0.0-0.0","","","","","","",""
"","1262","canvas-keyboard-response","1","31115","0.0-1.0-0.0","f","true","40","false","response","true",""
"","null","html-keyboard-response","2","32619","0.0-1.0-1.0","null","","","","","","Correct!"
"","690","canvas-keyboard-response","3","33814","0.0-1.0-0.1","f","true","30","false","response","true",""
"","null","html-keyboard-response","4","35318","0.0-1.0-1.1","null","","","","","","Correct!"
"","1309","canvas-keyboard-response","5","37133","0.0-1.0-0.2","j","false","30","false","response","true",""
"","null","html-keyboard-response","6","38636","0.0-1.0-1.2","null","","","","","","Correct!"
"","1104","canvas-keyboard-response","7","40245","0.0-1.0-0.3","j","false","40","true","response","true",""
"","null","html-keyboard-response","8","41748","0.0-1.0-1.3","null","","","","","","Correct!"
"","1055","canvas-keyboard-response","9","43308","0.0-1.0-0.4","j","true","20","true","response","false",""
"","null","html-keyboard-response","10","44810","0.0-1.0-1.4","null","","","","","","Wrong"
"","1131","canvas-keyboard-response","11","46446","0.0-1.0-0.5","j","false","10","false","response","true",""
"","null","html-keyboard-response","12","47948","0.0-1.0-1.5","null","","","","","","Correct!"
"","639","canvas-keyboard-response","13","49092","0.0-1.0-0.6","f","true","10","true","response","true",""
"","null","html-keyboard-response","14","50593","0.0-1.0-1.6","null","","","","","","Correct!"
"","1043","canvas-keyboard-response","15","52140","0.0-1.0-0.7","j","false","30","false","response","true",""
"","null","html-keyboard-response","16","53643","0.0-1.0-1.7","null","","","","","","Correct!"
"","1178","canvas-keyboard-response","17","55324","0.0-1.0-0.8","f","true","10","false","response","true",""
"","null","html-keyboard-response","18","56827","0.0-1.0-1.8","null","","","","","","Correct!"
"","668","canvas-keyboard-response","19","57998","0.0-1.0-0.9","f","true","10","false","response","true",""
"","null","html-keyboard-response","20","59500","0.0-1.0-1.9","null","","","","","","Correct!"
"","1154","canvas-keyboard-response","21","61158","0.0-1.0-0.10","j","false","40","true","response","true",""
"","null","html-keyboard-response","22","62661","0.0-1.0-1.10","null","","","","","","Correct!"
"","767","canvas-keyboard-response","23","63931","0.0-1.0-0.11","f","true","30","true","response","true",""
"","null","html-keyboard-response","24","65433","0.0-1.0-1.11","null","","","","","","Correct!"
"","921","canvas-keyboard-response","25","66857","0.0-1.0-0.12","j","false","40","true","response","true",""
"","null","html-keyboard-response","26","68360","0.0-1.0-1.12","null","","","","","","Correct!"
"","844","canvas-keyboard-response","27","69707","0.0-1.0-0.13","f","true","10","true","response","true",""
"","null","html-keyboard-response","28","71209","0.0-1.0-1.13","null","","","","","","Correct!"
"","810","canvas-keyboard-response","29","72522","0.0-1.0-0.14","f","true","40","false","response","true",""
"","null","html-keyboard-response","30","74025","0.0-1.0-1.14","null","","","","","","Correct!"
"","1110","canvas-keyboard-response","31","75639","0.0-1.0-0.15","j","false","20","false","response","true",""
"","null","html-keyboard-response","32","77142","0.0-1.0-1.15","null","","","","","","Correct!"
"","1187","canvas-keyboard-response","33","78837","0.0-1.0-0.16","f","true","10","true","response","true",""
"","null","html-keyboard-response","34","80340","0.0-1.0-1.16","null","","","","","","Correct!"
"","762","canvas-keyboard-response","35","81609","0.0-1.0-0.17","j","false","10","true","response","true",""
"","null","html-keyboard-response","36","83111","0.0-1.0-1.17","null","","","","","","Correct!"
"","1150","canvas-keyboard-response","37","84765","0.0-1.0-0.18","f","true","20","true","response","true",""
"","null","html-keyboard-response","38","86268","0.0-1.0-1.18","null","","","","","","Correct!"
"","1117","canvas-keyboard-response","39","87890","0.0-1.0-0.19","j","false","40","true","response","true",""
"","null","html-keyboard-response","40","89392","0.0-1.0-1.19","null","","","","","","Correct!"
"","1138","canvas-keyboard-response","41","91034","0.0-1.0-0.20","f","true","30","true","response","true",""
"","null","html-keyboard-response","42","92537","0.0-1.0-1.20","null","","","","","","Correct!"
"","972","canvas-keyboard-response","43","94013","0.0-1.0-0.21","f","true","30","true","response","true",""
"","null","html-keyboard-response","44","95516","0.0-1.0-1.21","null","","","","","","Correct!"
"","1273","canvas-keyboard-response","45","97293","0.0-1.0-0.22","j","true","30","false","response","false",""
"","null","html-keyboard-response","46","98795","0.0-1.0-1.22","null","","","","","","Wrong"
"","1006","canvas-keyboard-response","47","100305","0.0-1.0-0.23","f","true","30","false","response","true",""
"","null","html-keyboard-response","48","101808","0.0-1.0-1.23","null","","","","","","Correct!"
"","807","canvas-keyboard-response","49","103117","0.0-1.0-0.24","j","false","10","true","response","true",""
"","null","html-keyboard-response","50","104620","0.0-1.0-1.24","null","","","","","","Correct!"
"","864","canvas-keyboard-response","51","105989","0.0-1.0-0.25","j","false","10","false","response","true",""
"","null","html-keyboard-response","52","107491","0.0-1.0-1.25","null","","","","","","Correct!"
"","613","canvas-keyboard-response","53","108609","0.0-1.0-0.26","f","true","20","false","response","true",""
"","null","html-keyboard-response","54","110112","0.0-1.0-1.26","null","","","","","","Correct!"
"","1519","canvas-keyboard-response","55","112133","0.0-1.0-0.27","j","false","30","true","response","true",""
"","null","html-keyboard-response","56","113635","0.0-1.0-1.27","null","","","","","","Correct!"
"","899","canvas-keyboard-response","57","115038","0.0-1.0-0.28","j","false","20","true","response","true",""
"","null","html-keyboard-response","58","116540","0.0-1.0-1.28","null","","","","","","Correct!"
"","1444","canvas-keyboard-response","59","118487","0.0-1.0-0.29","j","false","40","false","response","true",""
"","null","html-keyboard-response","60","119989","0.0-1.0-1.29","null","","","","","","Correct!"
"","647","canvas-keyboard-response","61","121141","0.0-1.0-0.30","j","false","10","false","response","true",""
"","null","html-keyboard-response","62","122643","0.0-1.0-1.30","null","","","","","","Correct!"
"","534","canvas-keyboard-response","63","123680","0.0-1.0-0.31","j","false","10","false","response","true",""
"","null","html-keyboard-response","64","125183","0.0-1.0-1.31","null","","","","","","Correct!"
"","622","canvas-keyboard-response","65","126308","0.0-1.0-0.32","f","true","10","false","response","true",""
"","null","html-keyboard-response","66","127810","0.0-1.0-1.32","null","","","","","","Correct!"
"","778","canvas-keyboard-response","67","129092","0.0-1.0-0.33","f","true","20","true","response","true",""
"","null","html-keyboard-response","68","130594","0.0-1.0-1.33","null","","","","","","Correct!"
"","749","canvas-keyboard-response","69","131847","0.0-1.0-0.34","j","false","20","true","response","true",""
"","null","html-keyboard-response","70","133349","0.0-1.0-1.34","null","","","","","","Correct!"
"","1001","canvas-keyboard-response","71","134854","0.0-1.0-0.35","f","false","10","true","response","false",""
"","null","html-keyboard-response","72","136355","0.0-1.0-1.35","null","","","","","","Wrong"
"","700","canvas-keyboard-response","73","137560","0.0-1.0-0.36","f","true","10","true","response","true",""
"","null","html-keyboard-response","74","139062","0.0-1.0-1.36","null","","","","","","Correct!"
"","631","canvas-keyboard-response","75","140198","0.0-1.0-0.37","f","true","20","false","response","true",""
"","null","html-keyboard-response","76","141700","0.0-1.0-1.37","null","","","","","","Correct!"
"","753","canvas-keyboard-response","77","142957","0.0-1.0-0.38","f","true","10","false","response","true",""
"","null","html-keyboard-response","78","144458","0.0-1.0-1.38","null","","","","","","Correct!"
"","803","canvas-keyboard-response","79","145765","0.0-1.0-0.39","f","true","10","true","response","true",""
"","null","html-keyboard-response","80","147267","0.0-1.0-1.39","null","","","","","","Correct!"
"","1117","canvas-keyboard-response","81","148889","0.0-1.0-0.40","j","false","40","true","response","true",""
"","null","html-keyboard-response","82","150391","0.0-1.0-1.40","null","","","","","","Correct!"
"","527","canvas-keyboard-response","83","151422","0.0-1.0-0.41","f","true","20","false","response","true",""
"","null","html-keyboard-response","84","152924","0.0-1.0-1.41","null","","","","","","Correct!"
"","1492","canvas-keyboard-response","85","154920","0.0-1.0-0.42","f","true","30","true","response","true",""
"","null","html-keyboard-response","86","156422","0.0-1.0-1.42","null","","","","","","Correct!"
"","710","canvas-keyboard-response","87","157635","0.0-1.0-0.43","j","false","10","true","response","true",""
"","null","html-keyboard-response","88","159137","0.0-1.0-1.43","null","","","","","","Correct!"
"","653","canvas-keyboard-response","89","160293","0.0-1.0-0.44","j","false","10","false","response","true",""
"","null","html-keyboard-response","90","161794","0.0-1.0-1.44","null","","","","","","Correct!"
"","988","canvas-keyboard-response","91","163286","0.0-1.0-0.45","f","true","10","true","response","true",""
"","null","html-keyboard-response","92","164789","0.0-1.0-1.45","null","","","","","","Correct!"
"","927","canvas-keyboard-response","93","166219","0.0-1.0-0.46","j","false","30","true","response","true",""
"","null","html-keyboard-response","94","167721","0.0-1.0-1.46","null","","","","","","Correct!"
"","893","canvas-keyboard-response","95","169119","0.0-1.0-0.47","f","true","10","true","response","true",""
"","null","html-keyboard-response","96","170621","0.0-1.0-1.47","null","","","","","","Correct!"
"","915","canvas-keyboard-response","97","172040","0.0-1.0-0.48","j","false","30","true","response","true",""
