"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","response","present","setSize","conjuction","task","correct","stimulus"
"[{""page_index"":0,""viewing_time"":42463},{""page_index"":1,""viewing_time"":4998}]","47461","instructions","0","47460","0.0-0.0","","","","","","",""
"","4872","canvas-keyboard-response","1","52833","0.0-1.0-0.0","j","false","30","false","response","true",""
"","null","html-keyboard-response","2","54335","0.0-1.0-1.0","null","","","","","","Correct!<br><br><b>Work faster!</b>"
"","1260","canvas-keyboard-response","3","56097","0.0-1.0-0.1","j","false","20","true","response","true",""
"","null","html-keyboard-response","4","57598","0.0-1.0-1.1","null","","","","","","Correct!"
"","734","canvas-keyboard-response","5","58833","0.0-1.0-0.2","f","true","40","false","response","true",""
"","null","html-keyboard-response","6","60335","0.0-1.0-1.2","null","","","","","","Correct!"
"","2710","canvas-keyboard-response","7","63546","0.0-1.0-0.3","j","false","30","true","response","true",""
"","null","html-keyboard-response","8","65048","0.0-1.0-1.3","null","","","","","","Correct!<br><br><b>Work faster!</b>"
"","845","canvas-keyboard-response","9","66394","0.0-1.0-0.4","f","true","10","true","response","true",""
"","null","html-keyboard-response","10","67897","0.0-1.0-1.4","null","","","","","","Correct!"
"","947","canvas-keyboard-response","11","69346","0.0-1.0-0.5","j","false","10","false","response","true",""
"","null","html-keyboard-response","12","70849","0.0-1.0-1.5","null","","","","","","Correct!"
"","1884","canvas-keyboard-response","13","73235","0.0-1.0-0.6","f","true","40","true","response","true",""
"","null","html-keyboard-response","14","74737","0.0-1.0-1.6","null","","","","","","Correct!"
"","1877","canvas-keyboard-response","15","77115","0.0-1.0-0.7","j","false","30","true","response","true",""
"","null","html-keyboard-response","16","78617","0.0-1.0-1.7","null","","","","","","Correct!"
"","877","canvas-keyboard-response","17","79995","0.0-1.0-0.8","f","true","10","false","response","true",""
"","null","html-keyboard-response","18","81497","0.0-1.0-1.8","null","","","","","","Correct!"
"","797","canvas-keyboard-response","19","82795","0.0-1.0-0.9","j","false","10","true","response","true",""
"","null","html-keyboard-response","20","84297","0.0-1.0-1.9","null","","","","","","Correct!"
"","2230","canvas-keyboard-response","21","87028","0.0-1.0-0.10","j","false","20","false","response","true",""
"","null","html-keyboard-response","22","88530","0.0-1.0-1.10","null","","","","","","Correct!<br><br><b>Work faster!</b>"
"","1301","canvas-keyboard-response","23","90332","0.0-1.0-0.11","j","false","40","false","response","true",""
"","null","html-keyboard-response","24","91834","0.0-1.0-1.11","null","","","","","","Correct!"
"","1365","canvas-keyboard-response","25","93700","0.0-1.0-0.12","j","false","30","false","response","true",""
"","null","html-keyboard-response","26","95202","0.0-1.0-1.12","null","","","","","","Correct!"
"","1676","canvas-keyboard-response","27","97380","0.0-1.0-0.13","j","false","20","true","response","true",""
"","null","html-keyboard-response","28","98882","0.0-1.0-1.13","null","","","","","","Correct!"
"","949","canvas-keyboard-response","29","100333","0.0-1.0-0.14","j","false","10","false","response","true",""
"","null","html-keyboard-response","30","101834","0.0-1.0-1.14","null","","","","","","Correct!"
"","726","canvas-keyboard-response","31","103061","0.0-1.0-0.15","j","false","10","true","response","true",""
"","null","html-keyboard-response","32","104562","0.0-1.0-1.15","null","","","","","","Correct!"
"","669","canvas-keyboard-response","33","105733","0.0-1.0-0.16","j","false","10","false","response","true",""
"","null","html-keyboard-response","34","107237","0.0-1.0-1.16","null","","","","","","Correct!"
"","907","canvas-keyboard-response","35","108646","0.0-1.0-0.17","j","false","10","true","response","true",""
"","null","html-keyboard-response","36","110148","0.0-1.0-1.17","null","","","","","","Correct!"
"","861","canvas-keyboard-response","37","111510","0.0-1.0-0.18","j","false","20","false","response","true",""
"","null","html-keyboard-response","38","113012","0.0-1.0-1.18","null","","","","","","Correct!"
"","678","canvas-keyboard-response","39","114191","0.0-1.0-0.19","j","false","10","true","response","true",""
"","null","html-keyboard-response","40","115694","0.0-1.0-1.19","null","","","","","","Correct!"
"","1586","canvas-keyboard-response","41","117783","0.0-1.0-0.20","j","false","30","true","response","true",""
"","null","html-keyboard-response","42","119284","0.0-1.0-1.20","null","","","","","","Correct!"
"","1885","canvas-keyboard-response","43","121671","0.0-1.0-0.21","f","true","30","false","response","true",""
"","null","html-keyboard-response","44","123173","0.0-1.0-1.21","null","","","","","","Correct!"
"","2302","canvas-keyboard-response","45","125976","0.0-1.0-0.22","j","false","40","true","response","true",""
"","null","html-keyboard-response","46","127477","0.0-1.0-1.22","null","","","","","","Correct!<br><br><b>Work faster!</b>"
"","789","canvas-keyboard-response","47","128768","0.0-1.0-0.23","f","true","30","false","response","true",""
"","null","html-keyboard-response","48","130272","0.0-1.0-1.23","null","","","","","","Correct!"
"","699","canvas-keyboard-response","49","131472","0.0-1.0-0.24","j","false","10","true","response","true",""
"","null","html-keyboard-response","50","132974","0.0-1.0-1.24","null","","","","","","Correct!"
"","965","canvas-keyboard-response","51","134440","0.0-1.0-0.25","f","true","10","true","response","true",""
